match_id,team,m_o_m,runs,balls,fours,sixes,out_notout,batter
3817,Australia,0,7,18,1,0,1,DA Warner
3818,Australia,0,16,22,1,0,1,DA Warner
3820,Australia,0,35,38,5,0,1,DA Warner
3822,Australia,1,130,119,11,2,1,DA Warner
3826,Australia,1,179,128,19,5,1,DA Warner
3811,Australia,0,24,29,4,0,1,DA Warner
3812,Australia,1,119,115,14,1,1,DA Warner
3813,Australia,1,156,128,13,4,1,DA Warner
3876,Australia,0,18,16,1,1,1,DA Warner
3879,Australia,0,40,44,3,0,0,DA Warner
3885,Australia,0,21,25,4,0,1,DA Warner
3951,Australia,0,2,5,0,0,1,DA Warner
3958,Australia,0,35,40,5,0,1,DA Warner
3960,Australia,0,8,10,2,0,1,DA Warner
3966,Australia,0,13,11,2,0,1,DA Warner
3968,Australia,0,15,11,2,0,1,DA Warner
3910,Australia,0,25,28,2,0,1,DA Warner
3912,Australia,0,1,9,0,0,1,DA Warner
3914,Australia,0,42,44,4,1,1,DA Warner
3917,Australia,1,124,119,12,4,1,DA Warner
3919,Australia,0,53,62,5,0,1,DA Warner
4152,Australia,0,3,8,0,0,1,DA Warner
4155,Australia,0,56,84,5,0,1,DA Warner
4157,Australia,1,107,111,11,1,1,DA Warner
4159,Australia,0,26,48,2,0,1,DA Warner
4166,Australia,1,166,147,14,5,1,DA Warner
4173,Australia,0,53,61,6,0,1,DA Warner
4178,Australia,0,16,23,3,0,1,DA Warner
4188,Australia,0,122,117,15,2,1,DA Warner
4191,Australia,0,9,11,2,0,1,DA Warner
4255,Australia,0,67,88,9,0,1,DA Warner
4248,Australia,0,25,27,3,0,1,DA Warner
4252,Australia,0,35,23,4,1,1,DA Warner
4254,Australia,0,4,9,0,0,1,DA Warner
4231,Australia,1,128,112,17,3,0,DA Warner
4232,Australia,0,15,12,2,0,1,DA Warner
4233,Australia,0,3,7,0,0,1,DA Warner
4259,Australia,0,6,14,0,0,1,DA Warner
4260,Australia,0,6,11,0,0,1,DA Warner
4261,Australia,0,24,32,3,0,1,DA Warner
4265,Australia,0,69,76,6,0,1,DA Warner
4266,Australia,0,83,77,7,3,0,DA Warner
4409,Australia,0,0,3,0,0,1,DA Warner
4412,Australia,0,37,51,5,0,1,DA Warner
4415,Australia,0,9,12,2,0,1,DA Warner
