match_id,match_date,match_venue,match_event,man_of_match,match_winner
3817,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Pakistan in Australia ODI Series,MS Wade,Australia
3818,2017-01-15,Melbourne Cricket Ground,Pakistan in Australia ODI Series,Mohammad Hafeez,Pakistan
3820,2017-01-19,Western Australia Cricket Association Ground,Pakistan in Australia ODI Series,SPD Smith,Australia
3822,2017-01-22,Sydney Cricket Ground,Pakistan in Australia ODI Series,DA Warner,Australia
3826,2017-01-26,Adelaide Oval,Pakistan in Australia ODI Series,DA Warner,Australia
3811,2016-12-04,Sydney Cricket Ground,Chappell-Hadlee Trophy,SPD Smith,Australia
3812,2016-12-06,Manuka Oval,Chappell-Hadlee Trophy,DA Warner,Australia
3813,2016-12-09,Melbourne Cricket Ground,Chappell-Hadlee Trophy,DA Warner,Australia
3778,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Hong Kong in Scotland ODI Series,,
3779,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Hong Kong in Scotland ODI Series,,Scotland
3742,2016-06-11,Harare Sports Club,India in Zimbabwe ODI Series,KL Rahul,India
3744,2016-06-13,Harare Sports Club,India in Zimbabwe ODI Series,YS Chahal,India
3746,2016-06-15,Harare Sports Club,India in Zimbabwe ODI Series,KL Rahul,India
3814,2016-12-26,Hagley Oval,Bangladesh in New Zealand ODI Series,TWM Latham,New Zealand
3815,2016-12-29,Saxton Oval,Bangladesh in New Zealand ODI Series,NT Broom,New Zealand
3816,2016-12-31,Saxton Oval,Bangladesh in New Zealand ODI Series,KS Williamson,New Zealand
3829,2017-01-30,Eden Park,Chappell-Hadlee Trophy,MP Stoinis,New Zealand
3832,2017-02-05,Seddon Park,Chappell-Hadlee Trophy,TA Boult,New Zealand
3836,2017-02-19,Seddon Park,South Africa in New Zealand ODI Series,Q de Kock,South Africa
3839,2017-02-22,Hagley Oval,South Africa in New Zealand ODI Series,LRPL Taylor,New Zealand
3841,2017-02-25,Westpac Stadium,South Africa in New Zealand ODI Series,AB de Villiers,South Africa
3843,2017-03-01,Seddon Park,South Africa in New Zealand ODI Series,MJ Guptill,New Zealand
3846,2017-03-04,Eden Park,South Africa in New Zealand ODI Series,K Rabada,South Africa
3875,2017-06-01,Kennington Oval,ICC Champions Trophy,JE Root,England
3876,2017-06-02,Edgbaston,ICC Champions Trophy,,
3877,2017-06-03,Kennington Oval,ICC Champions Trophy,Imran Tahir,South Africa
3878,2017-06-04,Edgbaston,ICC Champions Trophy,Yuvraj Singh,India
3879,2017-06-05,Kennington Oval,ICC Champions Trophy,,
3880,2017-06-06,Sophia Gardens,ICC Champions Trophy,JT Ball,England
3881,2017-06-07,Edgbaston,ICC Champions Trophy,Hasan Ali,Pakistan
3882,2017-06-08,Kennington Oval,ICC Champions Trophy,BKG Mendis,Sri Lanka
3883,2017-06-09,Sophia Gardens,ICC Champions Trophy,Shakib Al Hasan,Bangladesh
3885,2017-06-10,Edgbaston,ICC Champions Trophy,BA Stokes,England
3886,2017-06-11,Kennington Oval,ICC Champions Trophy,JJ Bumrah,India
3888,2017-06-12,Sophia Gardens,ICC Champions Trophy,Sarfraz Ahmed,Pakistan
3889,2017-06-14,Sophia Gardens,ICC Champions Trophy,Hasan Ali,Pakistan
3891,2017-06-15,Edgbaston,ICC Champions Trophy,RG Sharma,India
